,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,58,0.2,0.5,1,SN,Y-SQ-ONE,4,0.9999999999999979,1,C,1,X,0,1,0,0,0
1,58,0.8,1.1,2,SN,B-SQ-ONE,2,0.9999999999999977,1,C,1,X,0,1,1,0,0
2,58,1.4,1.7,3,C,R-CR-TWO,1,0.9999999999999976,1,C,1,1,0,0,0,0,0
3,58,2.0,2.3,4,C,R-CR-THREE,1,0.999999999999997,1,C,1,2,0,0,0,0,0
4,58,2.6,2.9,5,C,B-ST-ONE,2,0.9999999999999973,2,C,1,3,0,0,0,0,0
5,58,3.21,3.51,6,CS,Y-ST-ONE,4,0.9999999999999977,4,C,1,4,0,0,0,0,0
6,58,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999982,2,C,1,5,0,0,0,0,0
7,58,4.41,4.71,8,C,R-TR-THREE,1,0.9999999999999977,1,C,1,6,0,0,0,0,0
8,58,5.01,5.31,9,C,Y-TR-THREE,4,0.9999999999999967,4,C,1,7,0,0,0,0,0
9,58,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999973,1,C,1,8,0,0,0,0,0
10,58,6.21,6.51,11,C,B-TR-FOUR,2,0.9999999999999966,2,C,1,9,0,0,0,0,0
11,58,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999971,2,C,1,10,0,0,0,0,0
12,58,7.41,7.71,13,CN,G-ST-THREE,3,0.9999999999999976,3,N,1,1,1,0,0,0,0
13,58,8.01,8.31,14,C,G-ST-FOUR,4,0.9999999999999971,3,N,1,X,1,1,1,1,0
14,58,8.62,8.92,15,N,G-SQ-TWO,2,0.9999999999999966,2,N,1,1,1,0,0,0,0
15,58,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999978,3,N,1,2,1,0,0,0,0
16,58,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.9999999999999976,4,N,1,3,1,0,0,0,0
17,58,10.42,10.72,18,N,B-SQ-FOUR,4,0.9999999999999978,4,N,1,4,1,0,0,0,0
